"Periodo","CSE","MOV2","SUB","USM","CDAR","TUN","FTB","USQ","GYR","KEN","LFR","MAM","PTE","CBV","JAZ","BOL","BOS","COL","SCR","MOV"
"2019-11","43","N/A","42","N/A","27","42","35","N/A","26","48","29","33","44","N/A","N/A","N/A","N/A","N/A","28","N/A"
"2019-12","54","N/A","50","N/A","19","39","37","N/A","25","37","N/A","32","45","N/A","N/A","N/A","N/A","N/A","29","N/A"
"2020-01","43","N/A","52","N/A","21","42","37","N/A","26","40","25","26","41","N/A","N/A","N/A","N/A","N/A","31","N/A"
"2020-02","74","N/A","61","N/A","32","51","47","35","36","53","41","30","48","N/A","N/A","N/A","N/A","N/A","37","N/A"
"2020-03","88","N/A","61","N/A","41","57","52","42","37","53","45","N/A","50","N/A","N/A","N/A","N/A","N/A","46","N/A"
"2020-04","43","N/A","35","N/A","19","25","25","N/A","19","33","N/A","N/A","26","N/A","N/A","N/A","N/A","N/A","19","27"
"2020-05","45","N/A","19","N/A","11","21","19","N/A","11","29","12","11","20","N/A","N/A","N/A","N/A","N/A","12","N/A"
"2020-06","62","N/A","24","N/A","18","30","29","N/A","20","36","20","18","30","N/A","N/A","N/A","N/A","N/A","21","N/A"
"2020-07","57","N/A","21","N/A","12","22","N/A","N/A","18","32","13","11","25","N/A","N/A","N/A","N/A","N/A","13","N/A"
"2020-08","61","N/A","21","N/A","15","29","26","N/A","24","37","16","14","N/A","N/A","N/A","N/A","N/A","N/A","17","N/A"
"2020-09","73","N/A","24","N/A","18","33","31","N/A","28","43","18","17","29","N/A","N/A","N/A","N/A","N/A","16","N/A"
"2020-10","69","N/A","28","N/A","20","34","33","N/A","26","42","20","18","29","N/A","N/A","N/A","N/A","N/A","20","N/A"
"2020-11","73","N/A","31","N/A","26","48","35","18","33","46","28","24","43","N/A","N/A","N/A","N/A","N/A","29","N/A"
"2020-12","79","N/A","33","N/A","26","47","40","14","29","51","25","22","45","N/A","N/A","N/A","N/A","N/A","23","N/A"
"2021-01","66","N/A","34","N/A","N/A","40","35","15","27","45","N/A","N/A","41","N/A","N/A","N/A","N/A","N/A","26","N/A"
"2021-02","66","N/A","34","N/A","22","40","34","15","N/A","44","25","23","41","N/A","N/A","N/A","N/A","N/A","26","N/A"
"2021-03","N/A","N/A","30","N/A","27","42","36","N/A","30","N/A","N/A","24","N/A","N/A","N/A","N/A","N/A","N/A","27","N/A"
"2021-04","55","N/A","28","N/A","19","25","24","N/A","22","37","20","16","30","N/A","N/A","N/A","N/A","N/A","15","N/A"
"2021-05","58","N/A","24","N/A","16","24","18","N/A","20","36","14","14","26","N/A","N/A","N/A","N/A","N/A","16","N/A"
"2021-06","69","N/A","24","N/A","18","31","24","N/A","22","40","18","14","31","N/A","N/A","N/A","N/A","N/A","13","N/A"
"2021-07","61","N/A","23","N/A","12","19","23","N/A","19","N/A","12","10","23","N/A","N/A","N/A","N/A","N/A","12","N/A"
"2021-08","70","N/A","26","N/A","19","28","33","15","22","39","20","14","26","N/A","N/A","N/A","N/A","N/A","16","N/A"
"2021-09","75","N/A","31","N/A","18","30","38","16","25","45","21","15","31","N/A","N/A","N/A","N/A","N/A","16","N/A"
"2021-10","75","N/A","28","N/A","23","40","35","22","26","46","25","23","37","N/A","N/A","N/A","N/A","N/A","23","N/A"
"2021-11","79","N/A","36","N/A","28","49","37","28","33","50","29","29","N/A","N/A","N/A","N/A","N/A","N/A","30","N/A"
"2021-12","N/A","N/A","39","N/A","28","49","42","27","38","60","30","29","N/A","N/A","N/A","N/A","N/A","N/A","30","N/A"
"2022-01","N/A","52","39","48","27","46","41","28","31","54","28","27","N/A","49","36","45","N/A","23","30","35"
"2022-02","N/A","56","38","46","32","51","48","31","37","51","34","33","N/A","53","43","42","N/A","27","33","45"
"2022-03","N/A","56","39","48","28","49","44","27","31","52","30","30","29","48","40","42","N/A","24","31","38"
"2022-04","N/A","45","34","39","24","40","35","22","28","40","24","25","23","37","31","35","N/A","18","25","34"
"2022-05","78","46","29","34","20","36","34","16","24","40","N/A","20","21","36","30","29","N/A","15","20","33"
"2022-06","72","46","24","34","22","36","34","18","23","39","24","N/A","N/A","37","29","N/A","N/A","15","19","30"
"2022-07","N/A","55","28","23","17","32","38","15","22","39","17","16","N/A","29","23","28","N/A","15","17","27"
"2022-08","N/A","58","36","27","20","31","42","20","25","N/A","22","16","N/A","34","26","28","N/A","15","20","30"
"2022-09","N/A","62","38","36","30","41","46","23","30","N/A","31","24","N/A","45","34","35","N/A","21","24","N/A"
"2022-10","N/A","50","N/A","38","26","42","35","23","28","40","25","22","31","N/A","32","31","N/A","19","24","N/A"
"2022-11","N/A","58","28","43","28","46","40","N/A","28","44","31","26","35","48","36","37","N/A","21","29","N/A"
"2022-12","N/A","71","38","47","33","49","49","28","31","55","35","29","39","56","39","43","N/A","26","31","N/A"
"2023-01","N/A","51","35","34","29","42","40","24","29","42","28","22","31","41","32","32","N/A","22","26","N/A"
"2023-02","N/A","67","43","44","34","46","52","29","33","55","36","27","38","56","40","42","N/A","29","30","N/A"
"2023-03","N/A","55","40","N/A","29","44","40","27","30","49","31","26","32","45","33","35","N/A","27","31","N/A"
"2023-04","N/A","50","34","31","27","36","35","19","27","N/A","28","23","30","43","29","33","N/A","22","25","N/A"
"2023-05","N/A","52","34","29","21","29","28","15","23","42","22","16","27","40","25","N/A","N/A","18","16","N/A"
"2023-06","N/A","50","27","24","N/A","21","20","10","18","31","14","N.A.","17","23","15","N/A","N/A","12","9","N/A"
"2023-07","N/A","45","23","21","N/A","20","22","11","19","31","13","N.A.","20","27","16","N/A","N/A","12","11","N/A"
"2023-08","65","52","32","25","N/A","25","27","15","20","37","18","N/A","20","29","20","24","N/A","16","14","25"
"2023-09","N/A","62","35","29","22","29","33","19","24","46","22","N/A","27","40","25","29","N/A","19","16","30"
"2023-10","73","52","29","40","28","39","35","25","26","46","28","N/A","33","48","32","33","N/A","21","23","36"
"2023-11","31","50","31","36","25","34","32","20","26","42","24","23","30","39","29","31","N/A","20","19","31"
"2023-12","81","51","38","37","28","41","35","25","29","57","29","31","33","48","35","39","N/A","26","28","37"
"2024-01","75","59","49","40","34","40","38","30","38","64","32","35","38","53","36","47","N/A","30","30","40"
"2024-02","72","60","43","42","33","44","37","30","39","61","35","38","40","49","37","47","N/A","30","32","43"
"2024-03","82","65","51","48","38","50","46","38","46","70","40","43","48","57","44","55","N/A","36","42","47"
"2024-04","77","58","45","42","34","48","39","34","41","60","35","38","40","49","41","47","N/A","31","35","45"
"2024-05","63","51","25","27","18","27","26","14","25","41","18","20","22","30","23","26","N/A","14","16","27"
"2024-06","60","49","24","24","16","N/A","25","13","25","39","17","19","21","26","22","24","N/A","14","15","28"
"2024-07","55.9","51.4","23","15.8","10.5","18.9","18.8","9.7","22.3","33.9","11.8","13.7","N/A","19.7","14.8","18.5","N/A","11.1","12.7","20.6"
"2024-08","61","59","31","26","17","27","26","15","30","N/A","N/A","18","22","32","24","28","N/A","18","19","27"
"2024-09","62","66","34","32","19","27","26","18","N/A","N/A","25","20","23","35","23","30","N/A","20","20","30"
"2024-10","75","N/A","33","31","N/A","33","28","19","29","37","N/A","20","29","38","30","31","N/A","16","21","N/A"
"2024-11","71","50","30","36","25","40","28","22","29","35","25","25","36","42","36","N/A","N/A","19","27","35"
"2024-12","79","60","40","40","28","40","33","30","26","46","29","29","38","50","39","42","N/A","24","32","39"
"2025-01","N/A","N/A","N/A","N/A","N/A","37","N/A","N/A","N/A","N/A","28","N/A","N/A","N/A","N/A","41","N/A","N/A","N/A","N/A"
"2025-02","73","56","35","37","28","40","32","25","30","42","30","30","38","46","35","38","N/A","22","30","40"
"2025-03","N/A","54","35","45","30","44","34","31","31","41","31","35","36","45","37","38","N/A","23","34","41"
"2025-04","N/A","45","28","34","22","34","26","23","25","36","23","24","30","35","30","29","N/A","16","24","29"
"2025-05","77","48","24","29","18","29","26","19","25","35","19","22","26","31","25","26","N/A","13","19","30"
"2025-06","68","47","24","19","14","21","21","14","22","29","12","18","21","20","19","17","N/A","N/A","15","22"
"2025-07","N/A","53","22","15","9","15","19","11","20","27","N/A","16","16","17","14","17","N/A","8","12","18"
